smiles,affinity_nM,pAff,affinity_type,uniprot_id,target_name,organism,ligand_name,ligand_id,pmid,scaffold
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C/c1cn2CCOCc2n1,0.4,9.397940008672037,IC50,P62593,Beta-lactamase TEM,,"CHEMBL212163::sodium (R,E)-6-((6,8-dihydro-5H-imidazo[2,1-c][1,4]oxazin-2-yl)methylene)-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50191378,16854068.0,O=C1C(=Cc2cn3c(n2)COCC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cnc2COCCn12,0.4,9.397940008672037,IC50,P62593,Beta-lactamase TEM,,"CHEMBL263746::Sodium; (R)-6-[1-(5,6-dihydro-8H-imidazo[2,1-c][1,4]oxazin-3-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149468,15214794.0,O=C1C(=Cc2cnc3n2CCOC3)C2SC=CN12
CC1=C[C@H](N2C[C@@H]1N(OC(F)(F)C(O)=O)C2=O)C(N)=O,0.47,9.327902142064282,IC50,P62593,Beta-lactamase TEM,,"2-(((2S,5R)-2-carbamoyl-4-methyl-7-oxo-1,6-diazabicyclo[3.2.1]oct-3-en-6-yl)oxy)-2,2-difluoroacetic acid lithium salt::US10800778, Example 91",467000,,O=C1NC2C=CCN1C2
ICC1CC(C(=O)O1)=C1O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,0.95,9.234260541478871,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 41::US9120808, Example 42",178163,,O=C1OCCC1=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
CC1C\C(C(=O)O1)=C1/O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,1.05,9.08374554364688,IC50,P62593,Beta-lactamase TEM,,"US9120808, Example 46::US9120808, Example 47",178167,,O=C1OCCC1=C1OC2CC(=O)N2C1C(=O)OCc1ccccc1
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cn2c3CCCc3sc2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R,6Z)-6-(6,7-dihydro-5H-cyclopenta-[d]imidazo[2,1-b][1,3]thiazol-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium::CHEMBL122450::Sodium; (R)-6-[1-(6,7-dihydro-5H-cyclopenta[d]imidazo[2,1-b]thiazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate::sodium (R)-6-[1-(6,7-dihydro-5H-cyclopenta[d]imidazo[2,1-b]thiazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149467,15214794.0;15588091.0,O=C1C(=Cc2cn3c4c(sc3n2)CCC4)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CSCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R)(6Z)-6-(6,7-dihydro-4H-pyrazolo[5,1-c][1,4]-thiazin-2-ylmethylene)-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL212760",50191379,16854068.0,O=C1C(=Cc2cc3n(n2)CCSC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CNCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"(5R),(6Z)-7-oxo-6-(4,5,6,7-tetrahydropyrazolo[1,5-a]-pyrazin-2-ylmethylene)-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid sodium salt::CHEMBL379856",50191377,16854068.0,O=C1C(=Cc2cc3n(n2)CCNC3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CN(CCc2s1)c1cc2COCCc2s1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"6-(6,7-dihydro-4H-thieno[3,2-c]pyran-2-ylmethylene)-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylicacid sodium salt::CHEMBL380061",50191389,16854068.0,O=C1C(=Cc2cc3c(s2)CCN(c2cc4c(s2)CCOC4)C3)C2SC=CN12
[O-]C(=O)C1=CS[C@H]2N1C(=O)\C2=C\c1cc2CCCn2n1,1.0,9.0,IC50,P62593,Beta-lactamase TEM,,"CHEMBL124416::Sodium; (R)-6-[1-(5,6-dihydro-4H-pyrrolo[1,2-b]pyrazol-2-yl)-meth-(Z)-ylidene]-7-oxo-4-thia-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylate",50149466,15214794.0,O=C1C(=Cc2cc3n(n2)CCC3)C2SC=CN12
